"General","General"
"Prices","Prices"
"Meta Information","Meta Information"
"Images","Images"
"Inventory","Inventory"
"Main Categories","Main Categories"
"Custom Options","Custom Options"
"Color","Color"
"Name","Name"
"Description","Description"
"Short Description","Short Description"
"Weight","Weight"
"Set Product as New from Date","Set Product as New from Date"
"Set Product as New to Date","Set Product as New to Date"
"Status","Status"
"URL Key","URL Key"
"Visibility","Visibility"
"SKU","SKU"
"Vendor Categories","Vendor Categories"
"Country of Manufacture","Country of Manufacture"
"Featured","Featured"
"Enable For Price Comparison","Enable For Price Comparison"
"Enable for Gift Wrapping","Enable for Gift Wrapping"
"Price","Price"
"Special Price","Special Price"
"Special Price From Date","Special Price From Date"
"Special Price To Date","Special Price To Date"
"Manufacturer's Suggested Retail Price","Manufacturer's Suggested Retail Price"
"Tax Class","Tax Class"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Image","Image"
"Label","Label"
"Sort Order","Sort Order"
"Base Image","Base Image"
"Small Image","Small Image"
"Thumbnail","Thumbnail"
"Exclude","Exclude"
"Remove","Remove"
"Available Attribute Sets","Available Attribute Sets"
"Available Product Type","Available Product Type"
"Pending Products","Pending Products"
"Product Approval","Product Approval"
"Product approved notification email","Product approved notification email"
"Email Sender","Email Sender"
"Product rejected notification email","Product rejected notification email"
"Catalog","Catalog"
"Only selected attribute sets are available for vendor","Only selected attribute sets are available for vendor"
"Only selected product types are available for vendor","Only selected product types are available for vendor"
"If 'Yes' vendor products need to be reviewed and approved by admin","If 'Yes' vendor products need to be reviewed and approved by admin"
"This notification email will be sent when the product is reviewed and approved","This notification email will be sent when the product is reviewed and approved"
"This notification email will be sent when the product is reviewed and rejected","This notification email will be sent when the product is reviewed and rejected"
"CMS","CMS"
"Pages","Pages"
"Vendor Id","Vendor Id"
"Approve","Approve"
"Reject","Reject"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Vendor","Vendor"
"Edit","Edit"
"Vendor SKU","Vendor SKU"
"SKU","SKU"
"Submit For Approval","Submit For Approval"
"Main Categories","Main Categories"
"Approval","Approval"
"Thumbnail","Thumbnail"
"Add Product","Add Product"
"Vendor is not set for this renderer.","Vendor is not set for this renderer."
"Item Manager","Item Manager"
"Items Manager","Items Manager"
"Please select product(s).","Please select product(s)."
"Total of %d record(s) have been approved.","Total of %d record(s) have been approved."
"Please select product(s).","Please select product(s)."
"Total of %d record(s) have been rejected.","Total of %d record(s) have been rejected."
"Total of %d record(s) have been deleted.', count($productIds)","Total of %d record(s) have been deleted.', count($productIds)"
"Catalog","Catalog"
"Manage Products","Manage Products"
"New Product","New Product"
"You do not have permission to access this page.","You do not have permission to access this page."
"This product no longer exists.","This product no longer exists."
"Default Values","Default Values"
"Attribute "%s" is invalid.","Attribute "%s" is invalid."
"The product has been saved.","The product has been saved."
"The product has been deleted.","The product has been deleted."
"Please select product(s).","Please select product(s)."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"An error occurred while updating the product(s) status.","An error occurred while updating the product(s) status."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products."
"The product has been duplicated.","The product has been duplicated."
"Value for "%s" is invalid.","Value for "%s" is invalid."
"The product has been created.","The product has been created."
"An error occurred while saving the product. ","An error occurred while saving the product. "
"Please click on the Close Window button if it is not closed automatically.","Please click on the Close Window button if it is not closed automatically."
"Product "%s" have been submited for approval.","Product "%s" have been submited for approval."
"An error occurred while getting the requested content.","An error occurred while getting the requested content."
"The SKU is already exist.","The SKU is already exist."
"Not Submited","Not Submited"
"Pending","Pending"
"Approved","Approved"
"Not Approved","Not Approved"
"Product Categories","Product Categories"
"Please select one or more attributes.","Please select one or more attributes."
"Manage Pending Products","Manage Pending Products"
"%s items have been submited for approval.","%s items have been submited for approval."